wine,category,vintage,price,location,quantity
Louis Roederer Cristal 2011,Champagne & Sparkling,2011,515,Main Cellar A1,1
Château Rauzan‑Ségla 2009,Bordeaux Red,2009,530,Wine Fridge Starboard,1
Château Palmer 2014,Bordeaux Red,2014,255,Main Cellar A1,1
Château Giscours 2010,Bordeaux Red,2010,750,Main Cellar A1,1
Château Pontet‑Canet 2005,Bordeaux Red,2005,255,Fridge 2,1
Château Pichon Comtesse 2018,Bordeaux Red,2018,365,Guest Pantry 1,1
Château Brane‑Cantenac 2010,Bordeaux Red,2010,1565,Main Cellar B3,1
Château Léoville Las Cases 2008,Bordeaux Red,2008,1220,Main Cellar A2,1
Château Beychevelle 2020,Bordeaux Red,2020,1095,Wine Fridge Port,1
Château Mouton Rothschild 2012,Bordeaux Red,2012,475,Fridge 1,1
Château Latour 2019,Bordeaux Red,2019,1030,Main Cellar A1,1
Château Pontet‑Canet 2010,Bordeaux Red,2010,605,Wine Fridge Port,1
Château Pichon Comtesse 2019,Bordeaux Red,2019,1925,Main Cellar B3,1
Château Talbot 2016,Bordeaux Red,2016,335,Wine Fridge Starboard,1
Château Margaux 2018,Bordeaux Red,2018,415,Guest Pantry 2,1
Château Giscours 2015,Bordeaux Red,2015,415,Main Cellar B1,1
Château Talbot 2009,Bordeaux Red,2009,310,Guest Pantry 1,1
Château Brane‑Cantenac 2008,Bordeaux Red,2008,450,Main Cellar B3,1
Château Giscours 2010,Bordeaux Red,2010,1320,Guest Pantry 1,1
Château Calon‑Ségur 1999,Bordeaux Red,1999,840,Guest Pantry 2,1
Château Calon‑Ségur 2012,Bordeaux Red,2012,940,Main Cellar B1,1
Château Léoville Las Cases 2009,Bordeaux Red,2009,620,Main Cellar A2,1
Château Pichon Comtesse 2005,Bordeaux Red,2005,1925,Main Cellar B3,1
Château Cos d'Estournel 2008,Bordeaux Red,2008,855,Fridge 1,1
Château Ducru-Beaucaillou 2005,Bordeaux Red,2005,280,Main Cellar A2,1
Château Ducru-Beaucaillou 2014,Bordeaux Red,2014,615,Fridge 1,1
Château Léoville Las Cases 2019,Bordeaux Red,2019,680,Guest Pantry 1,1
Château Talbot 2008,Bordeaux Red,2008,640,Main Cellar A1,1
Château Léoville Las Cases 2014,Bordeaux Red,2014,1640,Wine Fridge Starboard,1
Château Brane‑Cantenac 2019,Bordeaux Red,2019,470,Wine Fridge Starboard,1
Château Léoville Las Cases 2008,Bordeaux Red,2008,810,Main Cellar A2,1
Château Talbot 2012,Bordeaux Red,2012,635,Fridge 1,1
Château Léoville Las Cases 2014,Bordeaux Red,2014,1565,Main Cellar B1,1
Château Ducru-Beaucaillou 2014,Bordeaux Red,2014,595,Fridge 1,1
Château Giscours 2019,Bordeaux Red,2019,675,Main Cellar B1,1
Château Lynch‑Bages 2002,Bordeaux Red,2002,410,Main Cellar A2,1
Château Margaux 2016,Bordeaux Red,2016,1005,Main Cellar B3,1
Château Pichon Comtesse 2009,Bordeaux Red,2009,520,Wine Fridge Starboard,1
Château Talbot 2009,Bordeaux Red,2009,645,Fridge 2,1
Château Giscours 2019,Bordeaux Red,2019,770,Guest Pantry 2,1
Château Montrose 2015,Bordeaux Red,2015,405,Main Cellar B3,1
Château Pichon Comtesse 2016,Bordeaux Red,2016,680,Wine Fridge Starboard,1
Château Pontet‑Canet 2002,Bordeaux Red,2002,505,Guest Pantry 1,1
Château Ducru-Beaucaillou 2014,Bordeaux Red,2014,815,Fridge 1,1
Château Pontet‑Canet 2010,Bordeaux Red,2010,725,Main Cellar A2,1
Château Léoville Las Cases 2004,Bordeaux Red,2004,255,Main Cellar B3,1
Château Cos d'Estournel 2009,Bordeaux Red,2009,1480,Main Cellar B1,1
Château Haut-Brion 2005,Bordeaux Red,2005,885,Fridge 2,1
Château Rauzan‑Ségla 2009,Bordeaux Red,2009,320,Main Cellar B1,1
Château Pontet‑Canet 2019,Bordeaux Red,2019,1070,Fridge 1,1
Château Talbot 2016,Bordeaux Red,2016,280,Main Cellar B1,1
Château Beychevelle 2009,Bordeaux Red,2009,630,Guest Pantry 1,1
Château Montrose 2008,Bordeaux Red,2008,1135,Fridge 2,1
Château Lafite Rothschild 2020,Bordeaux Red,2020,780,Guest Pantry 1,1
Château Lynch‑Bages 2015,Bordeaux Red,2015,410,Fridge 1,1
Château Calon‑Ségur 2005,Bordeaux Red,2005,505,Guest Pantry 1,1
Château Cos d'Estournel 2005,Bordeaux Red,2005,430,Wine Fridge Starboard,1
Château Lynch‑Bages 2008,Bordeaux Red,2008,405,Wine Fridge Starboard,1
Château Lafite Rothschild 2002,Bordeaux Red,2002,605,Main Cellar B3,1
Château Latour 2010,Bordeaux Red,2010,665,Main Cellar B1,1
Château Léoville Las Cases 2015,Bordeaux Red,2015,860,Guest Pantry 2,1
Château Haut-Brion 2014,Bordeaux Red,2014,725,Wine Fridge Starboard,1
Château Latour 2016,Bordeaux Red,2016,480,Guest Pantry 1,1
Château Pichon Baron 2010,Bordeaux Red,2010,705,Fridge 2,1
Château Mouton Rothschild 2005,Bordeaux Red,2005,825,Guest Pantry 1,1
Château Montrose 2008,Bordeaux Red,2008,335,Fridge 2,1
Château Talbot 1999,Bordeaux Red,1999,750,Fridge 2,1
Château Léoville Las Cases 2008,Bordeaux Red,2008,255,Main Cellar A1,1
Château Pichon Comtesse 2012,Bordeaux Red,2012,505,Fridge 2,1
Château Brane‑Cantenac 2019,Bordeaux Red,2019,560,Fridge 1,1
Château Montrose 2005,Bordeaux Red,2005,1205,Main Cellar B1,1
Château Pontet‑Canet 2019,Bordeaux Red,2019,1405,Guest Pantry 2,1
Château Mouton Rothschild 2015,Bordeaux Red,2015,765,Fridge 2,1
Château Haut-Brion 2009,Bordeaux Red,2009,570,Guest Pantry 2,1
Château Mouton Rothschild 2019,Bordeaux Red,2019,315,Guest Pantry 2,1
Château Lynch‑Bages 2016,Bordeaux Red,2016,255,Guest Pantry 1,1
Château Montrose 2014,Bordeaux Red,2014,440,Guest Pantry 1,1
Château Rauzan‑Ségla 2010,Bordeaux Red,2010,505,Fridge 1,1
Château Lynch‑Bages 2010,Bordeaux Red,2010,1800,Wine Fridge Port,1
Château Pontet‑Canet 2019,Bordeaux Red,2019,505,Main Cellar B3,1
Château Lynch‑Bages 2010,Bordeaux Red,2010,675,Main Cellar B1,1
Château Brane‑Cantenac 2005,Bordeaux Red,2005,690,Wine Fridge Port,1
Château Cos d'Estournel 2018,Bordeaux Red,2018,570,Main Cellar A1,1
Château Cos d'Estournel 2005,Bordeaux Red,2005,955,Fridge 2,1
Château Calon‑Ségur 2019,Bordeaux Red,2019,680,Main Cellar A1,1
Château Giscours 2018,Bordeaux Red,2018,530,Wine Fridge Starboard,1
Château Latour 2002,Bordeaux Red,2002,825,Fridge 2,1
Château Pichon Comtesse 2019,Bordeaux Red,2019,710,Main Cellar A2,1
Château Lafite Rothschild 2008,Bordeaux Red,2008,765,Guest Pantry 1,1
Château Rauzan‑Ségla 2010,Bordeaux Red,2010,840,Main Cellar A1,1
Château Lynch‑Bages 2014,Bordeaux Red,2014,515,Wine Fridge Starboard,1
Château Brane‑Cantenac 2015,Bordeaux Red,2015,575,Main Cellar A2,1
Château Montrose 2013,Bordeaux Red,2013,630,Fridge 1,1
Château Talbot 2002,Bordeaux Red,2002,485,Main Cellar B1,1
Château Beychevelle 2014,Bordeaux Red,2014,340,Wine Fridge Port,1
Château Mouton Rothschild 2019,Bordeaux Red,2019,255,Main Cellar A1,1
Château Montrose 2002,Bordeaux Red,2002,820,Main Cellar A2,1
Château Latour 2005,Bordeaux Red,2005,720,Wine Fridge Starboard,1
Château Léoville Las Cases 2009,Bordeaux Red,2009,720,Main Cellar B1,1
Château Margaux 2006,Bordeaux Red,2006,520,Main Cellar A2,1
Château Palmer 2016,Bordeaux Red,2016,255,Fridge 2,1
Château Talbot 2010,Bordeaux Red,2010,775,Main Cellar A1,1
Château Lafite Rothschild 2002,Bordeaux Red,2002,610,Wine Fridge Starboard,1
Château Latour 2010,Bordeaux Red,2010,500,Fridge 2,1
Château Calon‑Ségur 2012,Bordeaux Red,2012,1325,Guest Pantry 2,1
Château Brane‑Cantenac 2015,Bordeaux Red,2015,480,Main Cellar A2,1
Château Pontet‑Canet 2008,Bordeaux Red,2008,710,Fridge 1,1
Château Beychevelle 2015,Bordeaux Red,2015,1655,Wine Fridge Starboard,1
Château Lynch‑Bages 2010,Bordeaux Red,2010,480,Main Cellar A1,1
Château Calon‑Ségur 2015,Bordeaux Red,2015,845,Wine Fridge Starboard,1
Château Lafite Rothschild 2008,Bordeaux Red,2008,325,Wine Fridge Starboard,1
Château Palmer 2014,Bordeaux Red,2014,1005,Fridge 1,1
Château Cos d'Estournel 2009,Bordeaux Red,2009,630,Fridge 2,1
Château Palmer 2002,Bordeaux Red,2002,550,Main Cellar B1,1
Château Brane‑Cantenac 2002,Bordeaux Red,2002,985,Guest Pantry 1,1
Château Haut-Brion 2018,Bordeaux Red,2018,1645,Wine Fridge Port,1
Château Beychevelle 2016,Bordeaux Red,2016,1925,Main Cellar A2,1
Château Rauzan‑Ségla 2015,Bordeaux Red,2015,745,Main Cellar B3,1
Château Palmer 2002,Bordeaux Red,2002,470,Fridge 1,1
Château Talbot 2009,Bordeaux Red,2009,1280,Main Cellar A1,1
Château Cos d'Estournel 2016,Bordeaux Red,2016,480,Main Cellar A2,1
Château Rauzan‑Ségla 2012,Bordeaux Red,2012,705,Wine Fridge Starboard,1
Château Giscours 2016,Bordeaux Red,2016,450,Guest Pantry 2,1
Château Beychevelle 2018,Bordeaux Red,2018,750,Main Cellar A2,1
Château Pichon Comtesse 2020,Bordeaux Red,2020,960,Guest Pantry 1,1
Château Pontet‑Canet 2018,Bordeaux Red,2018,365,Main Cellar B1,1
Château Léoville Las Cases 2015,Bordeaux Red,2015,1395,Guest Pantry 2,1
Château Mouton Rothschild 2019,Bordeaux Red,2019,530,Guest Pantry 2,1
Château Calon‑Ségur 2012,Bordeaux Red,2012,705,Guest Pantry 1,1
Château Giscours 2002,Bordeaux Red,2002,910,Wine Fridge Starboard,1
Château Beychevelle 2018,Bordeaux Red,2018,820,Main Cellar B3,1
Château Ducru-Beaucaillou 2010,Bordeaux Red,2010,255,Wine Fridge Starboard,1
Château Calon‑Ségur 2010,Bordeaux Red,2010,1210,Main Cellar A1,1
Château Lynch‑Bages 2008,Bordeaux Red,2008,610,Main Cellar A1,1
Château Rauzan‑Ségla 2006,Bordeaux Red,2006,730,Fridge 2,1
Château Beychevelle 2005,Bordeaux Red,2005,1115,Main Cellar A2,1
Château Latour 2012,Bordeaux Red,2012,365,Wine Fridge Starboard,1
Château Léoville Las Cases 2005,Bordeaux Red,2005,1470,Fridge 1,1
Château Pichon Comtesse 2008,Bordeaux Red,2008,530,Guest Pantry 2,1
Château Léoville Las Cases 2009,Bordeaux Red,2009,1235,Guest Pantry 2,1
Château Margaux 2002,Bordeaux Red,2002,1925,Main Cellar A1,1
Château Ducru-Beaucaillou 2016,Bordeaux Red,2016,545,Fridge 2,1
Château Margaux 2008,Bordeaux Red,2008,310,Guest Pantry 2,1
Château Lafite Rothschild 2019,Bordeaux Red,2019,660,Fridge 2,1
Château Mouton Rothschild 2012,Bordeaux Red,2012,320,Guest Pantry 2,1
Château Ducru-Beaucaillou 2005,Bordeaux Red,2005,455,Fridge 2,1
Château Léoville Las Cases 2008,Bordeaux Red,2008,975,Main Cellar A1,1
Château Talbot 2009,Bordeaux Red,2009,735,Main Cellar B3,1
Château Latour 2012,Bordeaux Red,2012,495,Main Cellar B1,1
Château Talbot 2014,Bordeaux Red,2014,1020,Fridge 2,1
Château Lynch‑Bages 2009,Bordeaux Red,2009,345,Fridge 2,1
Château Mouton Rothschild 2012,Bordeaux Red,2012,855,Main Cellar A1,1
Château Pichon Comtesse 2015,Bordeaux Red,2015,905,Wine Fridge Port,1
Château Haut-Brion 2008,Bordeaux Red,2008,630,Main Cellar B1,1
Château Lafite Rothschild 2018,Bordeaux Red,2018,1175,Guest Pantry 1,1
Château Lynch‑Bages 2008,Bordeaux Red,2008,655,Fridge 2,1
Château Beychevelle 2008,Bordeaux Red,2008,870,Wine Fridge Port,1
Château Margaux 2019,Bordeaux Red,2019,1250,Guest Pantry 1,1
Château Mouton Rothschild 2009,Bordeaux Red,2009,485,Guest Pantry 2,1
Château Montrose 2009,Bordeaux Red,2009,835,Guest Pantry 1,1
Château Montrose 2002,Bordeaux Red,2002,595,Guest Pantry 1,1
Château Haut-Brion 2002,Bordeaux Red,2002,360,Wine Fridge Port,1
Château Haut-Brion 2002,Bordeaux Red,2002,840,Wine Fridge Port,1
Château Palmer 2012,Bordeaux Red,2012,255,Main Cellar B3,1
Château Ducru-Beaucaillou 2008,Bordeaux Red,2008,1075,Main Cellar B1,1
Château Pichon Comtesse 2009,Bordeaux Red,2009,610,Main Cellar A2,1
Château Latour 2014,Bordeaux Red,2014,470,Fridge 2,1
Château Ducru-Beaucaillou 2009,Bordeaux Red,2009,1135,Main Cellar B3,1
Château Brane‑Cantenac 2009,Bordeaux Red,2009,1245,Main Cellar A1,1
Château Latour 2017,Bordeaux Red,2017,255,Main Cellar A1,1
Château Giscours 2012,Bordeaux Red,2012,585,Guest Pantry 2,1
Château Palmer 2019,Bordeaux Red,2019,1020,Main Cellar A1,1
Château Montrose 2015,Bordeaux Red,2015,410,Main Cellar B1,1
Château Ducru-Beaucaillou 2008,Bordeaux Red,2008,255,Main Cellar A1,1
Château Pichon Comtesse 2012,Bordeaux Red,2012,360,Wine Fridge Starboard,1
Château Calon‑Ségur 2002,Bordeaux Red,2002,300,Wine Fridge Port,1
Château Latour 2012,Bordeaux Red,2012,1820,Main Cellar B3,1
Château Lynch‑Bages 2019,Bordeaux Red,2019,1085,Main Cellar A1,1
Château Palmer 2005,Bordeaux Red,2005,390,Fridge 2,1
Château Talbot 2002,Bordeaux Red,2002,340,Main Cellar A1,1
Château Léoville Las Cases 2009,Bordeaux Red,2009,585,Wine Fridge Starboard,1
Château Pichon Comtesse 2005,Bordeaux Red,2005,515,Main Cellar A1,1
Château Lafite Rothschild 1998,Bordeaux Red,1998,1275,Main Cellar B3,1
Château Ducru-Beaucaillou 2018,Bordeaux Red,2018,450,Main Cellar B3,1
Château Talbot 2012,Bordeaux Red,2012,415,Main Cellar A2,1
Château Pichon Comtesse 2010,Bordeaux Red,2010,1060,Wine Fridge Port,1
Château Ducru-Beaucaillou 2005,Bordeaux Red,2005,1045,Main Cellar A2,1
Château Cos d'Estournel 2016,Bordeaux Red,2016,270,Main Cellar B1,1
Château Brane‑Cantenac 2009,Bordeaux Red,2009,365,Fridge 1,1
Château Pichon Comtesse 2002,Bordeaux Red,2002,1105,Fridge 1,1
Château Calon‑Ségur 2018,Bordeaux Red,2018,540,Wine Fridge Port,1
Château Margaux 2002,Bordeaux Red,2002,725,Main Cellar B3,1
Château Lynch‑Bages 2014,Bordeaux Red,2014,410,Wine Fridge Starboard,1
Château Lynch‑Bages 2014,Bordeaux Red,2014,745,Wine Fridge Port,1
Château Haut-Brion 2012,Bordeaux Red,2012,575,Main Cellar B3,1
Château Montrose 2019,Bordeaux Red,2019,865,Main Cellar B1,1
Château Latour 2014,Bordeaux Red,2014,680,Main Cellar B3,1
Château Giscours 2002,Bordeaux Red,2002,730,Fridge 1,1
Château Talbot 2002,Bordeaux Red,2002,1180,Main Cellar A1,1
Château Margaux 2019,Bordeaux Red,2019,275,Wine Fridge Starboard,1
Château Ducru-Beaucaillou 2016,Bordeaux Red,2016,290,Main Cellar A1,1
Château Calon‑Ségur 2010,Bordeaux Red,2010,710,Main Cellar B3,1
Château Margaux 2005,Bordeaux Red,2005,710,Guest Pantry 1,1
Château Pontet‑Canet 2008,Bordeaux Red,2008,1140,Wine Fridge Port,1
Château Ducru-Beaucaillou 2015,Bordeaux Red,2015,1110,Wine Fridge Starboard,1
Château Rauzan‑Ségla 2015,Bordeaux Red,2015,820,Guest Pantry 1,1
Château Montrose 2010,Bordeaux Red,2010,820,Guest Pantry 1,1
Château Léoville Las Cases 2005,Bordeaux Red,2005,645,Fridge 2,1
Château Calon‑Ségur 2018,Bordeaux Red,2018,425,Main Cellar B3,1
Château Cos d'Estournel 2016,Bordeaux Red,2016,575,Wine Fridge Port,1
Château Palmer 2015,Bordeaux Red,2015,370,Fridge 2,1
Château Palmer 2009,Bordeaux Red,2009,560,Wine Fridge Port,1
Château Cos d'Estournel 2014,Bordeaux Red,2014,910,Main Cellar A1,1
Château Pontet‑Canet 2009,Bordeaux Red,2009,540,Guest Pantry 1,1
Château Palmer 2010,Bordeaux Red,2010,1030,Main Cellar A1,1
Château Lafite Rothschild 2016,Bordeaux Red,2016,1845,Fridge 2,1
Château Margaux 2014,Bordeaux Red,2014,1050,Fridge 2,1
Château Pontet‑Canet 2005,Bordeaux Red,2005,255,Main Cellar B1,1
Château Montrose 2019,Bordeaux Red,2019,540,Guest Pantry 2,1
Château Haut-Brion 2009,Bordeaux Red,2009,300,Wine Fridge Port,1
Château Mouton Rothschild 2018,Bordeaux Red,2018,325,Fridge 2,1
Château Ducru-Beaucaillou 2019,Bordeaux Red,2019,485,Main Cellar B1,1
Château Montrose 2005,Bordeaux Red,2005,255,Main Cellar A1,1
Château Montrose 2016,Bordeaux Red,2016,385,Wine Fridge Starboard,1
Château Haut-Brion 2010,Bordeaux Red,2010,480,Wine Fridge Starboard,1
Château Calon‑Ségur 2014,Bordeaux Red,2014,1105,Guest Pantry 1,1
Château Pontet‑Canet 2012,Bordeaux Red,2012,340,Fridge 1,1
Château Giscours 2018,Bordeaux Red,2018,460,Fridge 2,1
Château Cos d'Estournel 2010,Bordeaux Red,2010,925,Main Cellar B1,1
Château Rauzan‑Ségla 2008,Bordeaux Red,2008,410,Main Cellar B3,1
Château Latour 2012,Bordeaux Red,2012,820,Guest Pantry 2,1
Château Calon‑Ségur 2009,Bordeaux Red,2009,955,Fridge 1,1
Château Lafite Rothschild 2002,Bordeaux Red,2002,610,Guest Pantry 1,1
Château Brane‑Cantenac 2010,Bordeaux Red,2010,1530,Wine Fridge Port,1
Château Calon‑Ségur 2016,Bordeaux Red,2016,425,Wine Fridge Port,1
Château Montrose 2015,Bordeaux Red,2015,425,Guest Pantry 2,1
Château Talbot 2019,Bordeaux Red,2019,1185,Main Cellar A2,1
Château Giscours 2005,Bordeaux Red,2005,385,Wine Fridge Port,1
Château Brane‑Cantenac 2009,Bordeaux Red,2009,950,Fridge 1,1
Château Beychevelle 2015,Bordeaux Red,2015,755,Wine Fridge Starboard,1
Château Lynch‑Bages 2016,Bordeaux Red,2016,255,Main Cellar A2,1
Château Pichon Comtesse 2012,Bordeaux Red,2012,575,Guest Pantry 1,1
Château Giscours 2005,Bordeaux Red,2005,780,Guest Pantry 1,1
Château Lynch‑Bages 2016,Bordeaux Red,2016,1030,Main Cellar B1,1
Château Giscours 2016,Bordeaux Red,2016,460,Main Cellar B3,1
Château Giscours 2014,Bordeaux Red,2014,915,Wine Fridge Starboard,1
Château Mouton Rothschild 2018,Bordeaux Red,2018,1355,Main Cellar A1,1
Château Montrose 2002,Bordeaux Red,2002,500,Main Cellar A1,1
Château Palmer 2005,Bordeaux Red,2005,1470,Wine Fridge Starboard,1
Château Lafite Rothschild 2002,Bordeaux Red,2002,825,Wine Fridge Port,1
Château Brane‑Cantenac 2019,Bordeaux Red,2019,1225,Wine Fridge Port,1
Château Giscours 2018,Bordeaux Red,2018,845,Main Cellar B1,1
Château Pichon Comtesse 2016,Bordeaux Red,2016,1355,Main Cellar A2,1
Château Lafite Rothschild 2005,Bordeaux Red,2005,915,Fridge 2,1
Château Calon‑Ségur 2002,Bordeaux Red,2002,1200,Main Cellar A1,1
Château Brane‑Cantenac 2008,Bordeaux Red,2008,595,Main Cellar B1,1
Château Margaux 2019,Bordeaux Red,2019,405,Main Cellar A2,1
Château Brane‑Cantenac 2012,Bordeaux Red,2012,880,Main Cellar A1,1
Château Margaux 2014,Bordeaux Red,2014,1365,Wine Fridge Starboard,1
Château Margaux 2002,Bordeaux Red,2002,495,Main Cellar A1,1
Château Pichon Comtesse 2008,Bordeaux Red,2008,500,Guest Pantry 2,1
Château Lafite Rothschild 2015,Bordeaux Red,2015,520,Fridge 2,1
Château Latour 2019,Bordeaux Red,2019,1355,Fridge 1,1
Château Brane‑Cantenac 2014,Bordeaux Red,2014,440,Fridge 2,1
Château Lafite Rothschild 2009,Bordeaux Red,2009,1895,Main Cellar A2,1
Château Pichon Comtesse 2012,Bordeaux Red,2012,635,Guest Pantry 1,1
Château Cos d'Estournel 2012,Bordeaux Red,2012,700,Main Cellar A2,1
Château Lynch‑Bages 2014,Bordeaux Red,2014,440,Main Cellar A2,1
Château Montrose 2012,Bordeaux Red,2012,1320,Wine Fridge Port,1
Château Léoville Las Cases 2009,Bordeaux Red,2009,405,Fridge 1,1
Château Margaux 2019,Bordeaux Red,2019,735,Main Cellar A1,1
Château Lynch‑Bages 2008,Bordeaux Red,2008,680,Main Cellar B3,1
Château Ducru-Beaucaillou 2008,Bordeaux Red,2008,890,Wine Fridge Port,1
Château Talbot 2009,Bordeaux Red,2009,880,Fridge 1,1
Château Cos d'Estournel 2018,Bordeaux Red,2018,1025,Main Cellar B3,1
Château Palmer 2016,Bordeaux Red,2016,905,Main Cellar B1,1
Château Ducru-Beaucaillou 2015,Bordeaux Red,2015,1890,Wine Fridge Starboard,1
Château Pontet‑Canet 2009,Bordeaux Red,2009,390,Main Cellar B1,1
Château Mouton Rothschild 2016,Bordeaux Red,2016,970,Main Cellar A2,1
Château Rauzan‑Ségla 2010,Bordeaux Red,2010,615,Main Cellar A1,1
Château Brane‑Cantenac 2010,Bordeaux Red,2010,265,Main Cellar A1,1
Château Cos d'Estournel 2005,Bordeaux Red,2005,480,Main Cellar B3,1
Château Lynch‑Bages 2019,Bordeaux Red,2019,275,Main Cellar A2,1
Château Latour 2012,Bordeaux Red,2012,915,Main Cellar B3,1
Château Latour 2010,Bordeaux Red,2010,280,Main Cellar A2,1
Château Léoville Las Cases 2008,Bordeaux Red,2008,835,Guest Pantry 2,1
Château Cos d'Estournel 2015,Bordeaux Red,2015,405,Main Cellar B1,1
Château Ducru-Beaucaillou 2002,Bordeaux Red,2002,345,Guest Pantry 2,1
Château Montrose 2019,Bordeaux Red,2019,1390,Fridge 2,1
Château Léoville Las Cases 2014,Bordeaux Red,2014,415,Main Cellar B1,1
Château Palmer 2010,Bordeaux Red,2010,1245,Wine Fridge Starboard,1
Château Léoville Las Cases 2019,Bordeaux Red,2019,775,Main Cellar B1,1
Château Montrose 2010,Bordeaux Red,2010,690,Main Cellar B1,1
Château Cos d'Estournel 2002,Bordeaux Red,2002,320,Main Cellar B1,1
Château Brane‑Cantenac 2009,Bordeaux Red,2009,520,Wine Fridge Starboard,1
Château Beychevelle 2016,Bordeaux Red,2016,655,Wine Fridge Starboard,1
Château Pontet‑Canet 2005,Bordeaux Red,2005,1200,Guest Pantry 1,1
Château Margaux 2018,Bordeaux Red,2018,585,Main Cellar B3,1
Château Mouton Rothschild 2012,Bordeaux Red,2012,605,Main Cellar B3,1
Château Pontet‑Canet 2005,Bordeaux Red,2005,300,Wine Fridge Starboard,1
Château Léoville Las Cases 2016,Bordeaux Red,2016,1045,Main Cellar A2,1
Château Pontet‑Canet 2015,Bordeaux Red,2015,1430,Fridge 2,1
Château Giscours 2019,Bordeaux Red,2019,470,Main Cellar B3,1
Château Montrose 2016,Bordeaux Red,2016,1145,Fridge 2,1
Château Pichon Baron 1996,Bordeaux Red,1996,310,Wine Fridge Port,1
Château Ducru-Beaucaillou 2016,Bordeaux Red,2016,1095,Main Cellar B3,1
Château Rauzan‑Ségla 2009,Bordeaux Red,2009,1515,Main Cellar A1,1
Château Pichon Comtesse 2012,Bordeaux Red,2012,485,Guest Pantry 1,1
Château Haut-Brion 2019,Bordeaux Red,2019,810,Fridge 2,1
Château Beychevelle 2002,Bordeaux Red,2002,690,Fridge 2,1
Château Haut-Brion 2012,Bordeaux Red,2012,1295,Guest Pantry 1,1
Château Haut-Brion 2008,Bordeaux Red,2008,470,Main Cellar A2,1
Château Rauzan‑Ségla 2008,Bordeaux Red,2008,540,Main Cellar B1,1
Château Calon‑Ségur 2014,Bordeaux Red,2014,765,Guest Pantry 1,1
Château Lafite Rothschild 2015,Bordeaux Red,2015,525,Main Cellar B3,1
Château Margaux 2010,Bordeaux Red,2010,610,Guest Pantry 1,1
Château Talbot 2008,Bordeaux Red,2008,860,Guest Pantry 2,1
Château Talbot 2018,Bordeaux Red,2018,540,Main Cellar A2,1
Château Margaux 2015,Bordeaux Red,2015,860,Fridge 2,1
Château Latour 2018,Bordeaux Red,2018,430,Guest Pantry 1,1
Château Mouton Rothschild 2015,Bordeaux Red,2015,1460,Fridge 1,1
Château Beychevelle 2016,Bordeaux Red,2016,530,Main Cellar A2,1
Château Palmer 2018,Bordeaux Red,2018,1065,Guest Pantry 1,1
Château Léoville Las Cases 2008,Bordeaux Red,2008,665,Fridge 1,1
Château Haut-Brion 2012,Bordeaux Red,2012,590,Main Cellar B1,1
Château Giscours 2019,Bordeaux Red,2019,1070,Guest Pantry 1,1
Château Calon‑Ségur 2014,Bordeaux Red,2014,1545,Main Cellar B1,1
Château Pontet‑Canet 2009,Bordeaux Red,2009,415,Guest Pantry 2,1
Château Ducru-Beaucaillou 2002,Bordeaux Red,2002,1115,Main Cellar A1,1
Château Mouton Rothschild 2019,Bordeaux Red,2019,1925,Fridge 1,1
Château Margaux 2015,Bordeaux Red,2015,255,Fridge 1,1
Château Beychevelle 2008,Bordeaux Red,2008,1410,Main Cellar A2,1
Château Haut-Brion 2009,Bordeaux Red,2009,655,Main Cellar B1,1
Château Haut-Brion 2019,Bordeaux Red,2019,845,Main Cellar A1,1
Château Talbot 2009,Bordeaux Red,2009,635,Main Cellar B3,1
Château Pontet‑Canet 2002,Bordeaux Red,2002,1200,Wine Fridge Port,1
Château Montrose 2010,Bordeaux Red,2010,270,Main Cellar A2,1
Château Margaux 2011,Bordeaux Red,2011,430,Fridge 2,1
Château Lafite Rothschild 2008,Bordeaux Red,2008,845,Main Cellar B1,1
Château Cos d'Estournel 2002,Bordeaux Red,2002,345,Guest Pantry 2,1
Château Brane‑Cantenac 2015,Bordeaux Red,2015,855,Main Cellar A2,1
Château Rauzan‑Ségla 2016,Bordeaux Red,2016,255,Main Cellar B1,1
Château Cos d'Estournel 2018,Bordeaux Red,2018,955,Main Cellar A2,1
Château Margaux 2019,Bordeaux Red,2019,450,Wine Fridge Starboard,1
Château Brane‑Cantenac 2012,Bordeaux Red,2012,1345,Fridge 2,1
Château Haut-Brion 2012,Bordeaux Red,2012,310,Main Cellar B3,1
Château Léoville Las Cases 2016,Bordeaux Red,2016,575,Fridge 2,1
Château Latour 2019,Bordeaux Red,2019,360,Fridge 1,1
Château Pontet‑Canet 2009,Bordeaux Red,2009,480,Wine Fridge Starboard,1
Château Talbot 2010,Bordeaux Red,2010,865,Main Cellar B3,1
Château Rauzan‑Ségla 2005,Bordeaux Red,2005,840,Main Cellar B3,1
Château Ducru-Beaucaillou 2005,Bordeaux Red,2005,910,Fridge 2,1
Château Léoville Las Cases 2015,Bordeaux Red,2015,1425,Main Cellar B3,1
Château Rauzan‑Ségla 2013,Bordeaux Red,2013,1105,Wine Fridge Starboard,1
Château Brane‑Cantenac 2014,Bordeaux Red,2014,1025,Main Cellar A2,1
Château Talbot 2016,Bordeaux Red,2016,290,Main Cellar A2,1
Château Giscours 2015,Bordeaux Red,2015,505,Fridge 1,1
Château Rauzan‑Ségla 2009,Bordeaux Red,2009,275,Main Cellar B1,1
Château Pontet‑Canet 2018,Bordeaux Red,2018,460,Main Cellar A1,1
